Name,Quantity,Component
"U1",1," Arduino Uno R3"
"DIST1",1," Ultrasonic Distance Sensor (4-pin)"
"SERVO1",1,"Positional Micro Servo"
"Bat1",1,"4 batteries, AA, no 1.5V Battery"
"C1",1,"1 uF, 16 V Polarized Capacitor"
"C2, C3",2,"0.1 uF Capacitor"
"D1",1,"Blue LED"
"R1, R3, R7, R8",4,"220 Ω Resistor"
"S1",1," Pushbutton"
"R2",1,"10 kΩ Resistor"
"PIEZO1",1," Piezo"
"D2",1,"RCBG LED RGB"
